cup,region,maturity,category,amount_eur,award_amount_eur,has_amount,has_award_amount,has_published_at,has_awarded_at,has_cig,has_procedure,has_contract_type,is_direct,is_works,is_framework
B15E22000220006,Veneto,Collaudo non concluso,ASILI NIDO,24000.0,24000.0,1,1,1,1,1,1,1,1,0,0
B15E22000220006,Veneto,Collaudo non concluso,ASILI NIDO,9705.25,9705.25,1,1,1,1,1,1,1,1,0,0
B15E22000230006,Veneto,Collaudo non concluso,ASILI NIDO,64148.97,62000.0,1,1,1,1,1,1,1,1,0,0
B15E22000230006,Veneto,Collaudo non concluso,ASILI NIDO,1258200.0,1166478.23,1,1,1,1,1,1,1,0,1,0
B15E22000230006,Veneto,Collaudo non concluso,ASILI NIDO,15000.0,15000.0,1,1,1,1,1,1,1,1,0,0
B15E22000230006,Veneto,Collaudo non concluso,ASILI NIDO,34500.0,34500.0,1,1,1,1,1,1,1,1,0,0
B15E22000240006,Puglia,Esecuzione lavori,ASILI NIDO,129335.59,0.0,1,1,1,0,1,1,1,1,0,0
B15E22000240006,Puglia,Esecuzione lavori,ASILI NIDO,17345.46,0.0,1,1,1,0,1,1,1,1,0,0
B15E22000240006,Puglia,Esecuzione lavori,ASILI NIDO,1277525.57,0.0,1,1,1,0,1,1,1,1,1,1
B15E22000240006,Puglia,Esecuzione lavori,ASILI NIDO,23645.57,0.0,1,1,1,0,1,1,1,0,0,0
B15E22000610006,Sicilia,Esecuzione lavori,ASILI NIDO,101845.21,96752.95,1,1,1,1,1,1,1,0,0,0
B15E22000610006,Sicilia,Esecuzione lavori,ASILI NIDO,874368.0,874368.0,1,1,1,1,1,1,1,1,1,1
B15E24000100006,Piemonte,Esecuzione lavori,ASILI NIDO,62505.06,62505.06,1,1,1,1,1,1,1,1,0,0
B15E24000100006,Piemonte,Esecuzione lavori,ASILI NIDO,500.0,500.0,1,1,1,0,1,1,1,1,0,0
B15E24000100006,Piemonte,Esecuzione lavori,ASILI NIDO,517576.16,445727.79,1,1,1,1,1,1,1,0,1,0
B15E24000100006,Piemonte,Esecuzione lavori,ASILI NIDO,44610.0,44610.0,1,1,1,1,1,1,1,1,1,0
B15E24000120006,Lazio,Esecuzione lavori,ASILI NIDO,56344.5,56344.5,1,1,1,1,1,1,1,1,0,0
B15E24000120006,Lazio,Esecuzione lavori,ASILI NIDO,14850.0,14850.0,1,1,1,1,1,1,1,1,0,0
B15E24000120006,Lazio,Esecuzione lavori,ASILI NIDO,418838.81,0.0,1,1,1,0,1,1,1,0,1,0
B15E24000120006,Lazio,Esecuzione lavori,ASILI NIDO,3996.0,3996.0,1,1,1,0,1,1,1,1,0,0
B15E24000150006,Lombardia,Esecuzione lavori,ASILI NIDO,92723.07,64906.15,1,1,1,1,0,1,0,1,0,0
B15E24000150006,Lombardia,Esecuzione lavori,ASILI NIDO,414284.4,393757.87,1,1,1,1,1,1,1,0,1,0
B15E24000170006,Veneto,Collaudo non concluso,ASILI NIDO,822309.27,822254.05,1,1,1,1,1,1,1,0,1,0
B15E24000170006,Veneto,Collaudo non concluso,ASILI NIDO,1420.0,1420.0,1,1,1,0,1,1,1,1,0,0
B15E24000170006,Veneto,Collaudo non concluso,ASILI NIDO,10000.0,10000.0,1,1,1,1,1,1,1,1,0,0
B15E24000170006,Veneto,Collaudo non concluso,ASILI NIDO,35994.12,35994.12,1,1,1,1,1,1,1,1,0,0
B15E24000170006,Veneto,Collaudo non concluso,ASILI NIDO,3500.0,3500.0,1,1,1,1,1,1,1,1,0,0
B15E24000170006,Veneto,Collaudo non concluso,ASILI NIDO,7067.95,0.0,1,1,1,0,1,1,1,1,1,0
B15E24000170006,Veneto,Collaudo non concluso,ASILI NIDO,3800.0,3800.0,1,1,1,1,1,1,1,1,0,0
B15E24000170006,Veneto,Collaudo non concluso,ASILI NIDO,3387.88,0.0,1,1,1,0,1,1,1,1,0,0
B15E24000200006,Campania,Esecuzione lavori,ASILI NIDO,2000.0,2000.0,1,1,1,0,0,1,0,1,0,0
B15E24000200006,Campania,Esecuzione lavori,ASILI NIDO,554396.95,567454.68,1,1,1,1,1,1,1,0,1,0
B15E25000000006,Calabria,Esecuzione lavori,ASILI NIDO,54028.51,54028.51,1,1,1,1,1,1,1,1,0,0
B15E25000000006,Calabria,Esecuzione lavori,ASILI NIDO,2604.09,2604.09,1,1,1,0,1,1,1,1,0,0
B15E25000000006,Calabria,Esecuzione lavori,ASILI NIDO,357000.0,344060.71,1,1,1,1,1,1,1,0,1,0
B15E25000000006,Calabria,Esecuzione lavori,ASILI NIDO,2848.97,2848.97,1,1,1,0,1,1,1,1,0,0
B15E25000070006,Calabria,Esecuzione lavori,ASILI NIDO,12331.87,12331.87,1,1,1,1,1,1,1,1,0,0
B15E25000070006,Calabria,Esecuzione lavori,ASILI NIDO,50500.0,50500.0,1,1,1,1,1,1,1,1,0,0
B15E25000070006,Calabria,Esecuzione lavori,ASILI NIDO,16398.03,16398.03,1,1,1,1,1,1,1,1,0,0
B15E25000070006,Calabria,Esecuzione lavori,ASILI NIDO,5184.04,5184.04,1,1,1,1,1,1,1,1,0,0
B15E25000070006,Calabria,Esecuzione lavori,ASILI NIDO,431231.92,415301.07,1,1,1,1,1,1,1,0,1,0
B15E25000130006,Campania,Collaudo non concluso,ASILI NIDO,378669.58,373468.48,1,1,1,1,1,1,1,0,1,0
B15E25000130006,Campania,Collaudo non concluso,ASILI NIDO,36144.01,36144.01,1,1,1,1,1,1,1,1,0,0
B15E25000130006,Campania,Collaudo non concluso,ASILI NIDO,5000.8,5000.8,1,1,1,1,1,1,1,1,0,0
B17G21000030006,Campania,Concluso,ASILI NIDO,52019.23,51400.0,1,1,1,1,1,1,1,1,0,0
B17G21000030006,Campania,Concluso,ASILI NIDO,3052.0,3052.0,1,1,1,1,1,1,1,1,0,0
B17G21000030006,Campania,Concluso,ASILI NIDO,574398.98,522014.74,1,1,1,1,1,1,1,0,1,0
B17G21000030006,Campania,Concluso,ASILI NIDO,1096.81,0.0,1,1,1,1,1,1,1,1,0,0
B17G21000030006,Campania,Concluso,ASILI NIDO,7400.0,6290.0,1,1,1,1,1,1,1,1,0,0
B17G21000030006,Campania,Concluso,ASILI NIDO,400.0,400.0,1,1,1,0,1,1,1,1,0,0
B17G21000030006,Campania,Concluso,ASILI NIDO,3726.89,3726.89,1,1,1,0,1,1,1,1,0,0
B17G21000030006,Campania,Concluso,ASILI NIDO,150.0,150.0,1,1,1,0,1,1,1,1,0,0
B17G24000070006,Campania,Esecuzione lavori,ASILI NIDO,257057.84,268631.08,1,1,1,1,1,1,1,0,1,0
B18H22000030006,Veneto,Collaudo non concluso,ASILI NIDO,12480.0,12480.0,1,1,1,1,1,1,1,1,0,0
B18H22000030006,Veneto,Collaudo non concluso,ASILI NIDO,201046.99,197482.14,1,1,1,1,1,1,1,0,1,0
B18H22000030006,Veneto,Collaudo non concluso,ASILI NIDO,6240.11,4992.09,1,1,1,1,1,1,1,1,0,0
B18H22000030006,Veneto,Collaudo non concluso,ASILI NIDO,5491.29,0.0,1,1,1,0,1,1,1,1,0,0
B18H22000030006,Veneto,Collaudo non concluso,ASILI NIDO,200.0,0.0,1,1,1,0,1,1,1,1,0,0
B18H22000060006,Abruzzo,Concluso,ASILI NIDO,36740.0,35821.5,1,1,1,1,1,1,1,1,0,0
B18H22000060006,Abruzzo,Concluso,ASILI NIDO,12000.0,9500.0,1,1,1,1,1,1,1,1,0,0
B18H22000060006,Abruzzo,Concluso,ASILI NIDO,364603.96,350141.27,1,1,1,1,1,1,1,0,1,0
B18H22000060006,Abruzzo,Concluso,ASILI NIDO,2000.0,2000.0,1,1,1,0,1,1,1,1,0,0
